Time [s],Packet ID,MOSI,MISO
4.35e-005,0,0xBB,0x0A
0.00046754,0,0x0B,0xD8
0.00089556,0,0xFF,0x3B
0.00133132,0,0xFF,0x0D
0.14805826,1,0xFF,0xFF
0.14849404,1,0xFF,0xF9
0.14892982,1,0xFF,0x3B
0.1493656,1,0xFF,0x0B
0.17605618,2,0xBB,0xFF
0.1764802,2,0x1B,0xF9
0.17690822,2,0xFF,0x3B
0.177344,2,0xFF,0x1B
0.32807116,3,0xFF,0x0A
0.32850696,3,0xFF,0x64
0.32894272,3,0xFF,0x3B
0.3293785,3,0xFF,0x1B
0.4480753,4,0xBB,0x0A
0.44849932,4,0x0B,0x64
0.44885808,4,0xFF,0x1D
0.4492861,4,0xFF,0x84
0.60009054,5,0xFF,0xFF
0.6005263,5,0xFF,0xF9
0.60096204,5,0xFF,0x9D
0.60132086,5,0xFF,0x85
0.6280902,6,0xBB,0xFF
0.62851422,6,0x1B,0xF9
0.62894224,6,0xFF,0x3B
0.62937802,6,0xFF,0x1B
0.78010344,7,0xFF,0x0A
0.78053922,7,0xFF,0x64
0.780975,7,0xFF,0x3B
0.78141078,7,0xFF,0x1B
0.9001073,8,0xBB,0x0A
0.90053132,8,0x09,0x62
0.90089008,8,0xFF,0x1D
0.90131812,8,0xFF,0x85
1.05212256,9,0xFF,0xFF
1.05255834,9,0xFF,0xF9
1.0529941,9,0xFF,0x3B
1.05342988,9,0xFF,0x0B
1.06411926,10,0xBB,0xFF
1.0645433,10,0x1B,0xF9
1.06497132,10,0xFF,0x3D
1.06533004,10,0xFF,0xC6
1.21613426,11,0xFF,0x0A
1.21657004,11,0xFF,0x64
1.21700582,11,0xFF,0x3B
1.2174416,11,0xFF,0x1B
1.33613838,12,0xBB,0x0A
1.3365624,12,0x0B,0x64
1.33699042,12,0xFF,0x3B
1.3374262,12,0xFF,0x0B
1.48815336,13,0xFF,0xFF
1.48858916,13,0xFF,0xF9
1.48902492,13,0xFF,0x3B
1.4894607,13,0xFF,0x0B
1.50415008,14,0xBB,0xFF
1.5045741,14,0x0D,0xFC
1.50493288,14,0xFF,0x9D
1.5053609,14,0xFF,0x8D
1.65616532,15,0xFF,0x05
1.6565241,15,0xFF,0x32
1.65695988,15,0xFF,0x1D
1.65739564,15,0xFF,0x8D
1.78016966,16,0xBB,0x0A
1.7805937,16,0x0B,0x64
1.78102172,16,0xFF,0x3B
1.7814575,16,0xFF,0x0B
1.92818794,17,0xFF,0xFF
1.9286237,17,0xFF,0xF9
1.92905948,17,0xFF,0x3B
1.92949526,17,0xFF,0x0B
1.95618234,18,0xBB,0xFF
1.95660636,18,0x1B,0xF9
1.95703438,18,0xFF,0x3B
1.95747016,18,0xFF,0x1B
2.10419736,19,0xFF,0x0A
2.10463308,19,0xFF,0x32
2.1049919,19,0xFF,0x1D
2.10542768,19,0xFF,0x8D
2.22820144,20,0xBB,0x0A
2.22862548,20,0x0B,0x64
2.2290535,20,0xFF,0x3B
2.22948926,20,0xFF,0x0B
2.38021694,21,0xFF,0xFF
2.38065272,21,0xFF,0xF9
2.3810885,21,0xFF,0x3B
2.38152428,21,0xFF,0x0B
2.3962134,22,0xBB,0xFF
2.39663742,22,0x1B,0xF9
2.39706544,22,0xFF,0x3B
2.39750122,22,0xFF,0x1B
2.5482289,23,0xFF,0x0A
2.54866468,23,0xFF,0x64
2.54910046,23,0xFF,0x3B
2.54953622,23,0xFF,0x1B
2.66823276,24,0xBB,0x0A
2.66865676,24,0x0B,0x64
2.6690848,24,0xFF,0x3B
2.66952058,24,0xFF,0x0B
2.82024776,25,0xFF,0xFF
2.82068354,25,0xFF,0xF9
2.8211193,25,0xFF,0x3B
2.82155506,25,0xFF,0x0B
2.84824542,26,0xBB,0xFF
2.84866944,26,0x1B,0xF9
2.84909746,26,0xFF,0x3B
2.84953324,26,0xFF,0x1B
3.00026066,27,0xFF,0x0A
3.00069644,27,0xFF,0x64
3.0011322,27,0xFF,0x3B
3.001568,27,0xFF,0x1B
3.124265,28,0xBB,0x0A
3.12468904,28,0x0B,0x64
3.12511706,28,0xFF,0x39
3.12547582,28,0xFF,0x81
3.27228002,29,0xFF,0xFF
3.2727158,29,0xFF,0xF9
3.27315156,29,0xFF,0x3B
3.27358734,29,0xFF,0x0B
3.30827814,30,0xBB,0xFF
3.30870218,30,0x1B,0xF9
3.3091302,30,0xFF,0x3B
3.30956596,30,0xFF,0x1B
3.45229268,31,0xFF,0x0A
3.45272846,31,0xFF,0x64
3.45316424,31,0xFF,0x3B
3.45360002,31,0xFF,0x1B
3.57629702,32,0xBB,0x0A
3.57672106,32,0x0B,0x64
3.57714908,32,0xFF,0x1D
3.57750786,32,0xFF,0x85
3.72431204,33,0xFF,0xFF
3.72474782,33,0xFF,0xF9
3.7251836,33,0xFF,0x3B
3.72561936,33,0xFF,0x02
3.74030898,34,0xBB,0xFF
3.740733,34,0x1B,0xF9
3.74116104,34,0xFF,0x3B
3.7415968,34,0xFF,0x1B
3.89232398,35,0xFF,0x0A
3.89275976,35,0xFF,0x64
3.89319554,35,0xFF,0x3B
3.89363132,35,0xFF,0x1B
4.01232808,36,0xBB,0x0A
4.01275212,36,0x0B,0x64
4.01318014,36,0xFF,0x3B
4.01361592,36,0xFF,0x0B
4.16434308,37,0xFF,0xFF
4.16477886,37,0xFF,0xFA
4.16521464,37,0xFF,0x3B
4.16565042,37,0xFF,0x0B
4.192341,38,0xBB,0xFF
4.192765,38,0x1B,0xFA
4.19319304,38,0xFF,0x3B
4.19362882,38,0xFF,0x1B
4.34435574,39,0xFF,0x0A
4.34479152,39,0xFF,0x64
4.3452273,39,0xFF,0x3B
4.34566308,39,0xFF,0x1B
4.4643601,40,0xBB,0x0A
4.46478412,40,0x0B,0x64
4.46521216,40,0xFF,0x3B
4.46564792,40,0xFF,0x0B
4.6163751,41,0xFF,0xFF
4.61681088,41,0xFF,0xF9
4.61724666,41,0xFF,0x3B
4.61768244,41,0xFF,0x0B
4.648373,42,0xBB,0xFF
4.64879704,42,0x1B,0xF9
4.64922504,42,0xFF,0x3B
4.64966082,42,0xFF,0x1B
4.80038826,43,0xFF,0x0A
4.80082404,43,0xFF,0x64
4.8012598,43,0xFF,0x3B
4.80169556,43,0xFF,0x1B
4.92039236,,0xBB,0x0A
4.9208164,,0x0B,0x64
4.9212444,,0xFF,0x3B
4.92168018,,0xFF,0x0B
